"ID","session","batch","schedule","Block","Trial","InfoCost","Target","Correct1st","Confidence1st","RT1st","SeeAgain","RTSee","Correct2nd","Confidence2nd","RT2nd","Day","DotDiff","excluded_by_RT","excluded_by_accuracy"
"667c2662a541712f84139691",1,"batch1",1,1,1,5,-1,1,100,727,0,4170,1,100,819,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,2,5,-1,1,100,2577,1,3183,1,100,599,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,3,5,-1,0,100,953,0,2214,0,100,1360,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,4,5,1,0,83,1600,1,1536,1,100,612,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,5,5,-1,1,100,1426,1,2116,1,100,840,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,6,5,1,1,100,1570,0,1260,1,100,1369,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,7,5,1,1,100,1581,0,1076,1,100,1372,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,8,5,-1,1,100,1029,0,1389,1,100,1170,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,9,5,1,1,83,1814,0,1279,1,100,2712,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,10,5,-1,1,67,1892,1,1159,1,100,624,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,11,5,-1,1,100,731,0,2475,1,100,1070,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,12,5,1,1,67,1592,1,1110,1,100,523,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,13,5,-1,1,100,634,0,1148,1,100,988,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,14,5,-1,1,100,728,0,890,1,100,448,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,15,5,1,1,67,2223,1,1074,0,100,1404,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,16,5,-1,1,100,910,0,848,1,100,1391,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,17,5,1,0,67,2166,1,747,1,100,544,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,18,5,-1,1,67,1709,1,919,1,100,688,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,19,5,1,0,100,759,0,786,0,100,1061,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,20,5,-1,1,83,1290,1,1062,1,100,323,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,21,5,1,1,67,2405,1,701,1,83,1856,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,22,5,-1,1,100,648,0,1056,1,100,2826,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,23,5,1,1,83,1240,0,2548,1,83,706,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,24,5,-1,1,100,682,0,1026,1,100,314,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,1,25,5,-1,1,67,2291,1,757,1,100,357,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,2,26,20,-1,1,100,524,0,1127,1,100,694,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,2,27,20,1,1,83,1324,0,2093,1,100,1852,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,2,28,20,1,0,100,937,0,1377,0,100,2110,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,2,29,20,-1,1,100,730,0,681,1,100,638,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,2,30,20,1,0,100,698,0,818,0,100,577,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,2,31,20,1,0,100,784,0,923,0,100,587,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,2,32,20,-1,1,100,611,0,796,1,100,2598,1,2.88,FALSE,FALSE
"667c2662a541712f84139691",1,"batch1",1,2,33,20,1,1,100,933,0,1132,1,100,1273,1,2.88,FALSE,FALSE
